REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2016/09/01 00:30:00,5561.56,40.09,TRADE
QLD1,2016/09/01 01:00:00,5380.54,48.13,TRADE
QLD1,2016/09/01 01:30:00,5223.33,43.64,TRADE
QLD1,2016/09/01 02:00:00,5110.12,36.54,TRADE
QLD1,2016/09/01 02:30:00,5051.31,32.29,TRADE
QLD1,2016/09/01 03:00:00,5041.25,32.49,TRADE
QLD1,2016/09/01 03:30:00,5002.49,30.60,TRADE
QLD1,2016/09/01 04:00:00,5012.41,33.71,TRADE
QLD1,2016/09/01 04:30:00,5061.41,30.89,TRADE
QLD1,2016/09/01 05:00:00,5171.05,32.84,TRADE
QLD1,2016/09/01 05:30:00,5406.73,44.69,TRADE
QLD1,2016/09/01 06:00:00,5616.74,40.23,TRADE
QLD1,2016/09/01 06:30:00,5951.04,56.45,TRADE
QLD1,2016/09/01 07:00:00,6278.82,117.36,TRADE
QLD1,2016/09/01 07:30:00,6513.5,58.67,TRADE
QLD1,2016/09/01 08:00:00,6481.42,62.71,TRADE
QLD1,2016/09/01 08:30:00,6340.15,58.73,TRADE
QLD1,2016/09/01 09:00:00,6188.95,53.59,TRADE
QLD1,2016/09/01 09:30:00,6123.07,52.66,TRADE
QLD1,2016/09/01 10:00:00,5995.85,52.92,TRADE
QLD1,2016/09/01 10:30:00,6034.61,53.71,TRADE
QLD1,2016/09/01 11:00:00,5982.37,53.89,TRADE
QLD1,2016/09/01 11:30:00,5904.34,53.79,TRADE
QLD1,2016/09/01 12:00:00,5976.74,54.25,TRADE
QLD1,2016/09/01 12:30:00,5937.14,53.71,TRADE
QLD1,2016/09/01 13:00:00,5960.09,53.70,TRADE
QLD1,2016/09/01 13:30:00,6012.18,55.23,TRADE
QLD1,2016/09/01 14:00:00,6117,57.60,TRADE
QLD1,2016/09/01 14:30:00,6236.48,60.03,TRADE
QLD1,2016/09/01 15:00:00,6234.7,55.08,TRADE
QLD1,2016/09/01 15:30:00,6302.34,58.30,TRADE
QLD1,2016/09/01 16:00:00,6406.71,62.58,TRADE
QLD1,2016/09/01 16:30:00,6501.04,54.55,TRADE
QLD1,2016/09/01 17:00:00,6665.99,56.85,TRADE
QLD1,2016/09/01 17:30:00,6788.78,52.40,TRADE
QLD1,2016/09/01 18:00:00,6926.5,65.72,TRADE
QLD1,2016/09/01 18:30:00,7034.68,68.99,TRADE
QLD1,2016/09/01 19:00:00,7136.45,69.33,TRADE
QLD1,2016/09/01 19:30:00,7011.95,56.64,TRADE
