REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2016/09/01 00:30:00,1001.13,30.28,TRADE
TAS1,2016/09/01 01:00:00,993.83,36.05,TRADE
TAS1,2016/09/01 01:30:00,988.76,33.52,TRADE
TAS1,2016/09/01 02:00:00,978.65,29.75,TRADE
TAS1,2016/09/01 02:30:00,983.06,26.64,TRADE
TAS1,2016/09/01 03:00:00,986.91,25.04,TRADE
TAS1,2016/09/01 03:30:00,976.95,23.69,TRADE
TAS1,2016/09/01 04:00:00,956.82,22.13,TRADE
TAS1,2016/09/01 04:30:00,985.74,23.85,TRADE
TAS1,2016/09/01 05:00:00,1016.53,51.80,TRADE
TAS1,2016/09/01 05:30:00,1053.21,62.41,TRADE
TAS1,2016/09/01 06:00:00,1095.23,39.43,TRADE
TAS1,2016/09/01 06:30:00,1165.63,53.52,TRADE
TAS1,2016/09/01 07:00:00,1255.48,92.62,TRADE
TAS1,2016/09/01 07:30:00,1319.3,52.63,TRADE
TAS1,2016/09/01 08:00:00,1340.33,61.59,TRADE
TAS1,2016/09/01 08:30:00,1306.36,62.57,TRADE
TAS1,2016/09/01 09:00:00,1252.54,62.41,TRADE
TAS1,2016/09/01 09:30:00,1223.59,62.41,TRADE
TAS1,2016/09/01 10:00:00,1150.11,56.10,TRADE
TAS1,2016/09/01 10:30:00,1097.55,62.41,TRADE
TAS1,2016/09/01 11:00:00,1098.37,62.41,TRADE
TAS1,2016/09/01 11:30:00,1116.1,62.41,TRADE
TAS1,2016/09/01 12:00:00,1088.52,58.72,TRADE
TAS1,2016/09/01 12:30:00,1095.98,62.36,TRADE
TAS1,2016/09/01 13:00:00,1066.12,52.04,TRADE
TAS1,2016/09/01 13:30:00,1017.1,51.11,TRADE
TAS1,2016/09/01 14:00:00,998.82,52.39,TRADE
TAS1,2016/09/01 14:30:00,997.92,52.98,TRADE
TAS1,2016/09/01 15:00:00,1010.76,48.59,TRADE
TAS1,2016/09/01 15:30:00,1019.07,48.26,TRADE
TAS1,2016/09/01 16:00:00,1029.68,51.74,TRADE
TAS1,2016/09/01 16:30:00,1035.08,45.35,TRADE
TAS1,2016/09/01 17:00:00,1077.29,47.10,TRADE
TAS1,2016/09/01 17:30:00,1127,45.28,TRADE
TAS1,2016/09/01 18:00:00,1262.2,58.24,TRADE
TAS1,2016/09/01 18:30:00,1341.77,64.68,TRADE
TAS1,2016/09/01 19:00:00,1350.04,64.17,TRADE
TAS1,2016/09/01 19:30:00,1335.81,52.16,TRADE
TAS1,2016/09/01 20:00:00,1296.21,50.54,TRADE
TAS1,2016/09/01 20:30:00,1287.45,52.58,TRADE
TAS1,2016/09/01 21:00:00,1278.87,52,TRADE
TAS1,2016/09/01 21:30:00,1249.9,53.03,TRADE
TAS1,2016/09/01 22:00:00,1204.2,53.67,TRADE
TAS1,2016/09/01 22:30:00,1159.55,52.61,TRADE
TAS1,2016/09/01 23:00:00,1102.6,46.19,TRADE
TAS1,2016/09/01 23:30:00,1072.7,43.11,TRADE
TAS1,2016/09/02 00:00:00,1067.72,43.44,TRADE
TAS1,2016/09/02 00:30:00,1044.46,39.09,TRADE
TAS1,2016/09/02 01:00:00,1040.02,31.36,TRADE
TAS1,2016/09/02 01:30:00,1023.64,29.28,TRADE
TAS1,2016/09/02 02:00:00,1022.98,55.69,TRADE
TAS1,2016/09/02 02:30:00,1015.32,56.24,TRADE
TAS1,2016/09/02 03:00:00,1014.95,56.43,TRADE
TAS1,2016/09/02 03:30:00,1027.05,57.24,TRADE
TAS1,2016/09/02 04:00:00,1027.98,55.65,TRADE
TAS1,2016/09/02 04:30:00,1004.77,48.14,TRADE
TAS1,2016/09/02 05:00:00,1028.24,53.89,TRADE
TAS1,2016/09/02 05:30:00,1064.55,62.41,TRADE
TAS1,2016/09/02 06:00:00,1107.01,49.49,TRADE
TAS1,2016/09/02 06:30:00,1177.12,62.41,TRADE
TAS1,2016/09/02 07:00:00,1251.76,66.95,TRADE
TAS1,2016/09/02 07:30:00,1329.24,58.84,TRADE
TAS1,2016/09/02 08:00:00,1372.05,78.09,TRADE
TAS1,2016/09/02 08:30:00,1373.46,79.21,TRADE
TAS1,2016/09/02 09:00:00,1338.16,64.75,TRADE
TAS1,2016/09/02 09:30:00,1298.93,71.74,TRADE
TAS1,2016/09/02 10:00:00,1256.05,65.44,TRADE
